Date/Time,DistrictCooling:HVAC [J](Hourly),DistrictHeating:HVAC [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/07  08:00:00,0.0,1593926.6488475273,1332530.907142857,0.0,1332000.0 
 01/07  09:00:00,0.0,1481005.4565006127,1332530.907142857,0.0,1332000.0 
 01/07  10:00:00,0.0,1309270.9888941091,1332530.907142857,0.0,1332000.0 
 01/07  11:00:00,0.0,945689.9092635278,1332530.907142857,0.0,1332000.0 
 01/07  12:00:00,0.0,723848.0680360601,1332530.907142857,0.0,1332000.0 
 01/07  13:00:00,0.0,553899.7341415732,1332530.907142857,0.0,1332000.0 
 01/07  14:00:00,0.0,440861.82689916843,1332530.907142857,0.0,1332000.0 
 01/07  15:00:00,0.0,342366.92127764825,1332530.907142857,0.0,1332000.0 
 01/07  16:00:00,0.0,404368.4366251511,1332530.907142857,0.0,1332000.0 
 01/07  17:00:00,0.0,528617.4576380686,1332530.907142857,0.0,1332000.0 
 01/07  18:00:00,0.0,683778.1721103023,1332530.907142857,0.0,1332000.0 
 01/07  19:00:00,0.0,870149.8344403761,1332530.907142857,0.0,1332000.0 
 01/07  20:00:00,0.0,987030.0768524995,1332530.907142857,0.0,1332000.0 
 01/07  21:00:00,0.0,1058960.5962528775,1332530.907142857,0.0,1332000.0 
 01/07  22:00:00,0.0,1079884.9864125636,1332530.907142857,0.0,1332000.0 
 01/07  23:00:00,0.0,1133863.384758213,1332530.907142857,0.0,1332000.0 
 01/07  24:00:00,0.0,1267432.541000955,1332530.907142857,0.0,1332000.0 
 01/08  01:00:00,0.0,1405429.1264269403,1332530.907142857,0.0,1332000.0 
 01/08  02:00:00,0.0,1500810.6478375427,1332530.907142857,0.0,1332000.0 
 01/08  03:00:00,0.0,1683200.5917988303,1332530.907142857,0.0,1332000.0 
 01/08  04:00:00,0.0,1814115.6412183242,1332530.907142857,0.0,1332000.0 
 01/08  05:00:00,0.0,2147269.3313464383,1332530.907142857,0.0,1332000.0 
 01/08  06:00:00,0.0,2338039.833491318,1332530.907142857,0.0,1332000.0 
 01/08  07:00:00,0.0,2506046.593703345,1332530.907142857,0.0,1332000.0 
 01/08  08:00:00,0.0,2540538.222083835,1332530.907142857,0.0,1332000.0 
 01/08  09:00:00,0.0,2331632.3020886183,1332530.907142857,0.0,1332000.0 
 01/08  10:00:00,0.0,1703855.3520911674,1332530.907142857,0.0,1332000.0 
 01/08  11:00:00,0.0,1038878.3200021831,1332530.907142857,0.0,1332000.0 
 01/08  12:00:00,0.0,828924.7453790645,1332530.907142857,0.0,1332000.0 
 01/08  13:00:00,0.0,702246.5349306861,1332530.907142857,0.0,1332000.0 
 01/08  14:00:00,0.0,628372.4473803047,1332530.907142857,0.0,1332000.0 
 01/08  15:00:00,0.0,588249.861622102,1332530.907142857,0.0,1332000.0 
 01/08  16:00:00,0.0,652043.9674434642,1332530.907142857,0.0,1332000.0 
 01/08  17:00:00,0.0,747892.3733335707,1332530.907142857,0.0,1332000.0 
 01/08  18:00:00,0.0,944601.3218052998,1332530.907142857,0.0,1332000.0 
 01/08  19:00:00,0.0,1161091.5994388878,1332530.907142857,0.0,1332000.0 
 01/08  20:00:00,0.0,1566677.513769105,1332530.907142857,0.0,1332000.0 
 01/08  21:00:00,0.0,1900947.3452752389,1332530.907142857,0.0,1332000.0 
 01/08  22:00:00,0.0,1977411.4195909202,1332530.907142857,0.0,1332000.0 
 01/08  23:00:00,0.0,2009835.443423607,1332530.907142857,0.0,1332000.0 
 01/08  24:00:00,0.0,2259219.8921466884,1332530.907142857,0.0,1332000.0 
 01/09  01:00:00,0.0,2346557.6335511906,1332530.907142857,0.0,1332000.0 
 01/09  02:00:00,0.0,2303395.637363101,1332530.907142857,0.0,1332000.0 
 01/09  03:00:00,0.0,2201241.0936820135,1332530.907142857,0.0,1332000.0 
 01/09  04:00:00,0.0,2159832.6489864937,1332530.907142857,0.0,1332000.0 
 01/09  05:00:00,0.0,2202296.901602969,1332530.907142857,0.0,1332000.0 
 01/09  06:00:00,0.0,2350125.4764121016,1332530.907142857,0.0,1332000.0 
 01/09  07:00:00,0.0,2299453.3349823784,1332530.907142857,0.0,1332000.0 
 01/09  08:00:00,0.0,2216255.2653308376,1332530.907142857,0.0,1332000.0 
 01/09  09:00:00,0.0,2178086.698140259,1332530.907142857,0.0,1332000.0 
 01/09  10:00:00,0.0,1988046.4075561203,1332530.907142857,0.0,1332000.0 
 01/09  11:00:00,0.0,1678693.7247151358,1332530.907142857,0.0,1332000.0 
 01/09  12:00:00,0.0,1427774.5610502588,1332530.907142857,0.0,1332000.0 
 01/09  13:00:00,0.0,1345445.3239151826,1332530.907142857,0.0,1332000.0 
 01/09  14:00:00,0.0,1149041.5912048365,1332530.907142857,0.0,1332000.0 
 01/09  15:00:00,0.0,1025158.5748423263,1332530.907142857,0.0,1332000.0 
 01/09  16:00:00,0.0,950226.540072887,1332530.907142857,0.0,1332000.0 
 01/09  17:00:00,0.0,926299.7870411595,1332530.907142857,0.0,1332000.0 
