Date/Time,DistrictCooling:HVAC [J](Hourly),DistrictHeating:HVAC [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/12  23:00:00,0.0,1922853.7142666625,1332530.907142857,0.0,1332000.0 
 01/12  24:00:00,0.0,2148112.158605593,1332530.907142857,0.0,1332000.0 
 01/13  01:00:00,0.0,2246539.520953174,1332530.907142857,0.0,1332000.0 
 01/13  02:00:00,0.0,2301799.863580531,1332530.907142857,0.0,1332000.0 
 01/13  03:00:00,0.0,2157267.9826235855,1332530.907142857,0.0,1332000.0 
 01/13  04:00:00,0.0,2009421.829629121,1332530.907142857,0.0,1332000.0 
 01/13  05:00:00,0.0,1972027.5312735252,1332530.907142857,0.0,1332000.0 
 01/13  06:00:00,0.0,1899600.1940506012,1332530.907142857,0.0,1332000.0 
 01/13  07:00:00,0.0,1894661.2417705457,1332530.907142857,0.0,1332000.0 
 01/13  08:00:00,0.0,1897316.072282882,1332530.907142857,0.0,1332000.0 
 01/13  09:00:00,0.0,1759860.119025522,1332530.907142857,0.0,1332000.0 
 01/13  10:00:00,0.0,1576049.1846616187,1332530.907142857,0.0,1332000.0 
 01/13  11:00:00,0.0,1255713.1674110189,1332530.907142857,0.0,1332000.0 
 01/13  12:00:00,0.0,1007194.113088916,1332530.907142857,0.0,1332000.0 
 01/13  13:00:00,0.0,1004525.5473316106,1332530.907142857,0.0,1332000.0 
 01/13  14:00:00,0.0,979655.7849422876,1332530.907142857,0.0,1332000.0 
 01/13  15:00:00,0.0,911442.9054847303,1332530.907142857,0.0,1332000.0 
 01/13  16:00:00,0.0,939565.3904240567,1332530.907142857,0.0,1332000.0 
 01/13  17:00:00,0.0,1023250.3150491359,1332530.907142857,0.0,1332000.0 
 01/13  18:00:00,0.0,1346138.2728789933,1332530.907142857,0.0,1332000.0 
 01/13  19:00:00,0.0,1899854.6252821493,1332530.907142857,0.0,1332000.0 
 01/13  20:00:00,0.0,2226216.99123852,1332530.907142857,0.0,1332000.0 
 01/13  21:00:00,0.0,2326004.7760646474,1332530.907142857,0.0,1332000.0 
 01/13  22:00:00,0.0,2403500.2909684265,1332530.907142857,0.0,1332000.0 
