city,scenario,schedule_start,schedule_end,photoperiod,optimal_pv_area [m²],optimal_battery_capacity [kWh],capital_cost [$],annual_savings [$/year],payback_period [years],lcoe [$/kWh],grid_cost [$/year],pv_depreciation [$/year],battery_depreciation [$/year],annual_maintenance [$/year],annual_pv_generation [kWh/year],annual_pv_used [kWh/year],annual_grid_import [kWh/year],annual_grid_export [kWh/year],annual_battery_charge [kWh/year],annual_battery_discharge [kWh/year],tlps [%],tlps_max [%],is_feasible,is_optimal,constraint_violations
default_city,independent,0,0,0,65.0,10.0,2735.496,1484.0213515948972,1.8617326206464133,0.14606158579618087,3123.7430225535218,109.41984000000001,36.0,27.354960000000002,34827.03194161054,7420.1067579744795,15618.71511276761,0.0,5580.924522564119,0.0,50.2283105022831,0,False,False,Min SOC violation: 0.100; TLPS violation: 50.23%
default_city,independent,0,0,0,65.0,11.0,2825.496,1432.959286735822,1.9915087514458554,0.14862258782263907,3174.805087412597,113.01984,39.6,28.254960000000004,34827.03194161054,7164.7964336791065,15874.025437062983,0.0,6118.854374111028,0.0,49.337899543378995,0,False,False,Min SOC violation: 0.100; TLPS violation: 49.34%
default_city,independent,0,0,0,65.0,12.0,2915.496,1382.073961981589,2.130603021981559,0.15117591844533218,3225.69041216683,116.61984000000001,43.2,29.154960000000003,34827.03194161054,6910.369809907939,16128.45206083415,0.0,6654.922140313493,0.0,48.470319634703195,0,False,False,Min SOC violation: 0.100; TLPS violation: 48.47%
default_city,independent,0,0,0,65.0,13.0,3005.496,1331.5429424628433,2.279724418339371,0.15371387045025248,3276.2214316855757,120.21984,46.8,30.05496,34827.03194161054,6657.714712314213,16381.107158427876,0.0,7187.256846943486,0.0,47.10045662100457,0,False,False,Min SOC violation: 0.100; Max SOC violation: 0.900; TLPS violation: 47.10%
default_city,independent,0,0,0,65.0,14.0,3095.496,1281.6319425828606,2.439429649123206,0.15622491050445564,3326.1324315655584,123.81984,50.4,30.95496,34827.03194161054,6408.159712914297,16630.66215782779,0.0,7713.05833207471,0.0,46.09589041095891,0,False,False,Min SOC violation: 0.100; TLPS violation: 46.10%
default_city,independent,0,0,0,65.0,15.0,3185.496,1232.3817252135168,2.6106772716404705,0.15870726929560017,3375.382648934902,127.41984000000001,54.0,31.854960000000002,34827.03194161054,6161.908626067583,16876.913244674506,0.0,8231.89576801931,0.0,45.102739726027394,0,False,False,Min SOC violation: 0.100; TLPS violation: 45.10%
default_city,independent,0,0,0,65.0,16.0,3275.496,1183.4611344676873,2.7954031304019367,0.16117532064405668,3424.3032396807316,131.01984000000002,57.6,32.754960000000004,34827.03194161054,5917.3056723384325,17121.516198403657,0.0,8747.259915831553,0.0,44.12100456621005,0,False,False,Min SOC violation: 0.100; TLPS violation: 44.12%
default_city,independent,0,0,0,65.0,17.0,3365.496,1134.6959649173496,2.9956491122691107,0.16363662593594988,3473.0684092310694,134.61984,61.2,33.65496,34827.03194161054,5673.479824586742,17365.342046155347,0.0,9260.987916308917,0.0,42.81963470319635,0,False,False,Min SOC violation: 0.100; TLPS violation: 42.82%
default_city,independent,0,0,0,65.0,18.0,3455.496,1086.3316799706304,3.212693714404385,0.16608053083272448,3521.4326941777886,138.21984,64.8,34.55496,34827.03194161054,5431.65839985315,17607.16347088894,0.0,9770.49145287262,0.0,41.78082191780822,0,False,False,Min SOC violation: 0.100; TLPS violation: 41.78%
default_city,independent,0,0,0,65.0,19.0,3545.496,1038.2133010053917,3.4491476429094634,0.16851376218104855,3569.551073143027,141.81984,68.4,35.45496,34827.03194161054,5191.066505026953,17847.755365715137,0.0,10277.404507385942,0.0,40.87899543378995,0,False,False,Min SOC violation: 0.100; TLPS violation: 40.88%
