,thermal conductivity,thickness,annual_energy_kWh,normalized_energy
194,1.1,0.17,2823.860280198945,0.8727236795097255
195,1.1,0.18,2808.0859312879174,0.8678485630175836
196,1.1,0.19,2793.33849627586,0.8632908177788049
197,1.1,0.2,2779.4053613412925,0.8589847347645473
198,1.2000000000000002,0.03,3244.1820206197117,1.0
199,1.2000000000000002,0.04,3199.8738930244926,0.9863422806385089
200,1.2000000000000002,0.05,3157.8459977964867,0.973387429473907
201,1.2000000000000002,0.06,3118.394241617564,0.9612266579980246
202,1.2000000000000002,0.07,3081.813846250443,0.9499509665803978
203,1.2000000000000002,0.08,3048.229995335761,0.9395989423409358
204,1.2000000000000002,0.09,3017.453974349778,0.9301124151392025
205,1.2000000000000002,0.1,2989.2583107624796,0.9214212679076077
206,1.2000000000000002,0.11,2963.3958009126336,0.9134493015735776
207,1.2000000000000002,0.12,2939.644570422957,0.9061281246671291
208,1.2000000000000002,0.13,2917.668447992536,0.8993541143647654
209,1.2000000000000002,0.14,2897.357057736111,0.8930932479499565
210,1.2000000000000002,0.15,2878.7240698544847,0.8873497391815838
211,1.2000000000000002,0.16,2861.7267760752625,0.8821104234862286
212,1.2000000000000002,0.17,2845.165719211155,0.8770055752505725
213,1.2000000000000002,0.18,2829.708333147904,0.8722409270387874
214,1.2000000000000002,0.19,2815.065127286983,0.8677272450789436
215,1.2000000000000002,0.2,2801.2029597808364,0.8634543135917335
216,1.3000000000000003,0.03,3251.4708877085,1.0
217,1.3000000000000003,0.04,3209.0955062361136,0.9869673194268546
218,1.3000000000000003,0.05,3168.7744952296907,0.9745664668899773
219,1.3000000000000003,0.06,3130.8049479204115,0.9628888143380767
220,1.3000000000000003,0.07,3095.4958580489083,0.9520293937586148
221,1.3000000000000003,0.08,3062.9877446029536,0.942031422204004
222,1.3000000000000003,0.09,3033.128169368661,0.9328480168267114
223,1.3000000000000003,0.1,3005.6937519087323,0.9244104762774054
224,1.3000000000000003,0.11,2980.4575328445044,0.9166489984921887
225,1.3000000000000003,0.12,2957.2430246534673,0.9095093041837468
226,1.3000000000000003,0.13,2935.7428772758294,0.9028968668837806
227,1.3000000000000003,0.14,2915.7508109554074,0.8967482446107048
228,1.3000000000000003,0.15,2897.3775038981303,0.8910974767915207
229,1.3000000000000003,0.16,2880.318788762057,0.8858510158127187
230,1.3000000000000003,0.17,2865.8482391248467,0.8814005531953497
231,1.3000000000000003,0.18,2849.2028333217313,0.876281206789377
232,1.3000000000000003,0.19,2834.6898844768266,0.871817704163606
233,1.3000000000000003,0.2,2821.0048707967985,0.86760883557685
